account_code,user_code,account_type,currency,status
A000150,U00121,standard,INR,active
A000151,U00121,standard,INR,active
A000152,U00122,premium,INR,active
A000153,U00122,premium,INR,active
A000154,U00123,premium,INR,active
A000155,U00123,premium,INR,active
A000156,U00124,standard,INR,active
A000157,U00125,standard,INR,active
A000158,U00126,premium,INR,active
A000159,U00127,standard,INR,active
A000160,U00128,standard,INR,active
A000161,U00129,premium,INR,active
A000162,U00130,premium,INR,active
A000163,U00130,standard,INR,active
A000164,U00131,premium,INR,active
A000165,U00132,standard,INR,active
A000166,U00133,standard,INR,active
A000167,U00134,standard,INR,active
A000168,U00135,standard,INR,active
A000169,U00135,standard,INR,active
A000170,U00136,standard,INR,active
A000171,U00137,standard,INR,active
A000172,U00138,standard,INR,active
A000173,U00138,standard,INR,active
A000174,U00139,premium,INR,active
A000175,U00140,standard,INR,active
A000176,U00140,standard,INR,active
A000177,U00141,standard,INR,active
A000178,U00142,standard,INR,active
A000179,U00143,premium,INR,active
A000180,U00144,premium,INR,active
A000181,U00145,standard,INR,active
A000182,U00146,premium,INR,active
A000183,U00146,premium,INR,active
A000184,U00147,standard,INR,active
A000185,U00148,premium,INR,active
A000186,U00148,standard,INR,active
A000187,U00149,premium,INR,active
A000188,U00150,premium,INR,active
A000189,U00151,standard,INR,active
A000190,U00151,premium,INR,active
A000191,U00152,standard,INR,active
A000192,U00152,premium,INR,active
A000193,U00153,standard,INR,active
A000194,U00154,standard,INR,active
A000195,U00155,standard,INR,active
A000196,U00155,premium,INR,active
A000197,U00156,standard,INR,active
A000198,U00156,premium,INR,active
A000199,U00157,premium,INR,active
A000200,U00158,premium,INR,active
A000201,U00159,premium,INR,active
A000202,U00160,standard,INR,active
A000203,U00161,standard,INR,active
A000204,U00162,premium,INR,active
A000205,U00163,standard,INR,active
A000206,U00164,standard,INR,active
A000207,U00165,standard,INR,active
A000208,U00165,premium,INR,active
A000209,U00166,standard,INR,active
A000210,U00167,standard,INR,active
A000211,U00168,premium,INR,active
A000212,U00169,standard,INR,active
A000213,U00170,standard,INR,active
A000214,U00170,premium,INR,active
A000215,U00171,premium,INR,active
A000216,U00172,premium,INR,active
A000217,U00172,premium,INR,active
A000218,U00173,premium,INR,active
A000219,U00174,premium,INR,active
A000220,U00174,standard,INR,active
A000221,U00175,premium,INR,active
A000222,U00175,standard,INR,active
A000223,U00176,premium,INR,active
A000224,U00177,standard,INR,active
A000225,U00177,standard,INR,active
A000226,U00178,standard,INR,active
A000227,U00179,premium,INR,active
A000228,U00180,standard,INR,active
A000229,U00181,premium,INR,active
A000230,U00182,premium,INR,active
A000231,U00183,premium,INR,active
A000232,U00184,premium,INR,active
A000233,U00185,premium,INR,active
A000234,U00185,premium,INR,active
A000235,U00186,premium,INR,active
A000236,U00187,standard,INR,active
A000237,U00188,standard,INR,active
A000238,U00188,standard,INR,active
A000239,U00189,standard,INR,active
A000240,U00190,standard,INR,active
A000241,U00191,standard,INR,active
A000242,U00191,standard,INR,active
A000243,U00192,standard,INR,active
A000244,U00193,standard,INR,active
A000245,U00194,premium,INR,active
A000246,U00194,standard,INR,active
A000247,U00195,premium,INR,active
A000248,U00195,standard,INR,active
A000249,U00196,premium,INR,active
A000250,U00197,standard,INR,active
A000251,U00198,premium,INR,active
A000252,U00199,premium,INR,active
A000253,U00200,standard,INR,active
A000254,U00201,standard,INR,active
A000255,U00202,standard,INR,active
A000256,U00203,premium,INR,active
A000257,U00204,premium,INR,active
A000258,U00205,premium,INR,active
A000259,U00206,premium,INR,active
A000260,U00206,standard,INR,active
A000261,U00207,premium,INR,active
A000262,U00208,standard,INR,active
A000263,U00209,premium,INR,active
A000264,U00210,premium,INR,active
A000265,U00210,premium,INR,active
A000266,U00211,standard,INR,active
A000267,U00212,standard,INR,active
A000268,U00213,premium,INR,active
A000269,U00213,premium,INR,active
A000270,U00214,standard,INR,active
A000271,U00215,standard,INR,active
A000272,U00216,premium,INR,active
A000273,U00216,standard,INR,active
A000274,U00217,premium,INR,active
A000275,U00218,standard,INR,active
A000276,U00219,standard,INR,active
A000277,U00220,standard,INR,active
A000278,U00221,standard,INR,active
A000279,U00221,premium,INR,active
A000280,U00222,standard,INR,active
A000281,U00223,premium,INR,active
A000282,U00223,premium,INR,active
A000283,U00224,standard,INR,active
A000284,U00225,standard,INR,active
A000285,U00226,premium,INR,active
A000286,U00227,standard,INR,active
A000287,U00228,premium,INR,active
A000288,U00229,standard,INR,active
A000289,U00230,premium,INR,active
A000290,U00231,standard,INR,active
A000291,U00231,premium,INR,active
A000292,U00232,premium,INR,active
A000293,U00232,standard,INR,active
A000294,U00233,standard,INR,active
A000295,U00233,premium,INR,active
A000296,U00234,standard,INR,active
A000297,U00235,premium,INR,active
A000298,U00236,premium,INR,active
A000299,U00237,premium,INR,active
A000300,U00238,premium,INR,active
A000301,U00239,standard,INR,active
A000302,U00240,premium,INR,active
A000303,U00241,premium,INR,active
A000304,U00241,premium,INR,active
A000305,U00242,standard,INR,active
A000306,U00243,standard,INR,active
A000307,U00244,premium,INR,active
A000308,U00244,premium,INR,active
A000309,U00245,standard,INR,active
A000310,U00246,premium,INR,active
A000311,U00247,premium,INR,active
A000312,U00248,standard,INR,active
A000313,U00248,premium,INR,active
A000314,U00249,premium,INR,active
A000315,U00249,standard,INR,active
A000316,U00250,standard,INR,active
A000317,U00251,standard,INR,active
A000318,U00251,standard,INR,active
A000319,U00252,premium,INR,active
A000320,U00253,premium,INR,active
A000321,U00254,standard,INR,active
A000322,U00255,premium,INR,active
A000323,U00256,premium,INR,active
A000324,U00257,premium,INR,active
A000325,U00258,premium,INR,active
A000326,U00259,standard,INR,active
A000327,U00260,standard,INR,active
A000328,U00260,premium,INR,active
A000329,U00261,standard,INR,active
A000330,U00262,standard,INR,active
A000331,U00263,premium,INR,active
A000332,U00263,premium,INR,active
A000333,U00264,premium,INR,active
A000334,U00265,premium,INR,active
A000335,U00266,premium,INR,active
A000336,U00267,standard,INR,active
A000337,U00268,premium,INR,active
A000338,U00268,standard,INR,active
A000339,U00269,premium,INR,active
A000340,U00269,premium,INR,active
A000341,U00270,standard,INR,active
A000342,U00270,premium,INR,active
A000343,U00271,premium,INR,active
A000344,U00271,premium,INR,active
A000345,U00272,standard,INR,active
A000346,U00273,standard,INR,active
A000347,U00274,premium,INR,active
A000348,U00275,premium,INR,active
A000349,U00276,standard,INR,active
A000350,U00277,premium,INR,active
A000351,U00277,standard,INR,active
A000352,U00278,standard,INR,active
A000353,U00279,standard,INR,active
A000354,U00280,premium,INR,active
A000355,U00280,standard,INR,active
A000356,U00281,premium,INR,active
A000357,U00281,premium,INR,active
A000358,U00282,standard,INR,active
A000359,U00282,premium,INR,active
A000360,U00283,standard,INR,active
A000361,U00284,premium,INR,active
A000362,U00285,standard,INR,active
A000363,U00286,premium,INR,active
A000364,U00286,premium,INR,active
A000365,U00287,standard,INR,active
A000366,U00288,premium,INR,active
A000367,U00289,standard,INR,active
A000368,U00290,premium,INR,active
A000369,U00290,premium,INR,active
A000370,U00291,standard,INR,active
A000371,U00291,premium,INR,active
A000372,U00292,premium,INR,active
A000373,U00293,premium,INR,active
A000374,U00294,standard,INR,active
A000375,U00294,standard,INR,active
A000376,U00295,premium,INR,active
A000377,U00296,premium,INR,active
A000378,U00297,standard,INR,active
A000379,U00297,premium,INR,active
A000380,U00298,premium,INR,active
A000381,U00299,premium,INR,active
A000382,U00300,premium,INR,active
A000383,U00300,standard,INR,active
A000384,U00301,standard,INR,active
A000385,U00302,standard,INR,active
A000386,U00303,standard,INR,active
A000387,U00304,standard,INR,active
A000388,U00305,standard,INR,active
A000389,U00306,premium,INR,active
A000390,U00307,standard,INR,active
A000391,U00307,premium,INR,active
A000392,U00308,standard,INR,active
A000393,U00309,premium,INR,active
A000394,U00309,standard,INR,active
A000395,U00310,premium,INR,active
A000396,U00311,premium,INR,active
A000397,U00311,standard,INR,active
A000398,U00312,standard,INR,active
A000399,U00313,standard,INR,active
A000400,U00314,standard,INR,active
A000401,U00315,premium,INR,active
A000402,U00316,premium,INR,active
A000403,U00317,premium,INR,active
A000404,U00318,premium,INR,active
A000405,U00318,premium,INR,active
A000406,U00319,standard,INR,active
A000407,U00319,premium,INR,active
A000408,U00320,premium,INR,active
A000409,U00321,premium,INR,active
A000410,U00322,standard,INR,active
A000411,U00323,standard,INR,active
A000412,U00324,premium,INR,active
A000413,U00325,standard,INR,active
A000414,U00326,standard,INR,active
A000415,U00327,premium,INR,active
A000416,U00327,standard,INR,active
A000417,U00328,premium,INR,active
A000418,U00328,standard,INR,active
A000419,U00329,standard,INR,active
A000420,U00329,standard,INR,active
A000421,U00330,premium,INR,active
A000422,U00330,standard,INR,active
A000423,U00331,premium,INR,active
A000424,U00332,standard,INR,active
A000425,U00332,premium,INR,active
A000426,U00333,premium,INR,active
A000427,U00334,standard,INR,active
A000428,U00335,premium,INR,active
A000429,U00335,premium,INR,active
A000430,U00336,premium,INR,active
A000431,U00336,premium,INR,active
A000432,U00337,standard,INR,active
A000433,U00337,standard,INR,active
A000434,U00338,standard,INR,active
A000435,U00339,standard,INR,active
A000436,U00340,standard,INR,active
A000437,U00341,standard,INR,active
A000438,U00342,premium,INR,active
A000439,U00342,standard,INR,active
A000440,U00343,premium,INR,active
A000441,U00344,standard,INR,active
A000442,U00345,standard,INR,active
A000443,U00345,premium,INR,active
A000444,U00346,standard,INR,active
A000445,U00347,standard,INR,active
A000446,U00348,premium,INR,active
A000447,U00348,premium,INR,active
A000448,U00349,premium,INR,active
A000449,U00350,standard,INR,active
A000450,U00351,premium,INR,active
A000451,U00352,standard,INR,active
A000452,U00352,standard,INR,active
A000453,U00353,standard,INR,active
A000454,U00354,premium,INR,active
A000455,U00355,standard,INR,active
A000456,U00356,premium,INR,active
A000457,U00357,premium,INR,active
A000458,U00358,standard,INR,active
A000459,U00359,standard,INR,active
A000460,U00359,premium,INR,active
A000461,U00360,standard,INR,active
A000462,U00361,standard,INR,active
A000463,U00362,standard,INR,active
A000464,U00363,premium,INR,active
A000465,U00363,standard,INR,active
A000466,U00364,premium,INR,active
A000467,U00365,premium,INR,active
A000468,U00365,standard,INR,active
A000469,U00366,premium,INR,active
A000470,U00367,premium,INR,active
A000471,U00368,premium,INR,active
A000472,U00368,premium,INR,active
A000473,U00369,standard,INR,active
A000474,U00370,premium,INR,active
A000475,U00370,standard,INR,active
A000476,U00371,standard,INR,active
A000477,U00371,premium,INR,active
A000478,U00372,premium,INR,active
A000479,U00373,premium,INR,active
A000480,U00374,premium,INR,active
A000481,U00375,premium,INR,active
A000482,U00376,standard,INR,active
A000483,U00377,standard,INR,active
A000484,U00378,standard,INR,active
A000485,U00378,standard,INR,active
A000486,U00379,premium,INR,active
A000487,U00380,standard,INR,active
A000488,U00380,premium,INR,active
A000489,U00381,standard,INR,active
A000490,U00382,standard,INR,active
A000491,U00383,standard,INR,active
A000492,U00384,premium,INR,active
A000493,U00385,premium,INR,active
A000494,U00386,standard,INR,active
A000495,U00387,premium,INR,active
A000496,U00387,standard,INR,active
A000497,U00388,standard,INR,active
A000498,U00388,standard,INR,active
A000499,U00389,standard,INR,active
A000500,U00390,standard,INR,active
A000501,U00390,standard,INR,active
A000502,U00391,premium,INR,active
A000503,U00392,standard,INR,active
A000504,U00393,standard,INR,active
A000505,U00394,standard,INR,active
A000506,U00394,premium,INR,active
A000507,U00395,standard,INR,active
A000508,U00396,standard,INR,active
A000509,U00396,standard,INR,active
A000510,U00397,premium,INR,active
A000511,U00398,premium,INR,active
A000512,U00399,premium,INR,active
A000513,U00400,standard,INR,active
A000514,U00401,standard,INR,active
A000515,U00402,premium,INR,active
A000516,U00403,standard,INR,active
A000517,U00404,premium,INR,active
A000518,U00405,standard,INR,active
A000519,U00405,standard,INR,active
A000520,U00406,standard,INR,active
A000521,U00407,premium,INR,active
A000522,U00408,premium,INR,active
A000523,U00409,standard,INR,active
A000524,U00410,premium,INR,active
A000525,U00411,standard,INR,active
A000526,U00412,standard,INR,active
A000527,U00413,standard,INR,active
A000528,U00414,premium,INR,active
A000529,U00415,standard,INR,active
A000530,U00416,premium,INR,active
A000531,U00417,standard,INR,active
A000532,U00417,standard,INR,active
A000533,U00418,standard,INR,active
A000534,U00418,standard,INR,active
A000535,U00419,premium,INR,active
A000536,U00420,premium,INR,active
A000537,U00421,premium,INR,active
A000538,U00421,standard,INR,active
A000539,U00422,standard,INR,active
A000540,U00422,standard,INR,active
A000541,U00423,standard,INR,active
A000542,U00424,standard,INR,active
A000543,U00425,standard,INR,active
A000544,U00426,premium,INR,active
A000545,U00426,premium,INR,active
A000546,U00427,premium,INR,active
A000547,U00427,standard,INR,active
A000548,U00428,premium,INR,active
A000549,U00429,premium,INR,active
A000550,U00430,standard,INR,active
A000551,U00431,premium,INR,active
A000552,U00432,standard,INR,active
A000553,U00432,premium,INR,active
A000554,U00433,standard,INR,active
A000555,U00433,standard,INR,active
A000556,U00434,standard,INR,active
A000557,U00435,standard,INR,active
A000558,U00435,premium,INR,active
A000559,U00436,premium,INR,active
A000560,U00437,standard,INR,active
A000561,U00438,standard,INR,active
A000562,U00439,standard,INR,active
A000563,U00440,premium,INR,active
A000564,U00440,premium,INR,active
A000565,U00441,premium,INR,active
A000566,U00442,premium,INR,active
A000567,U00443,standard,INR,active
A000568,U00444,premium,INR,active
A000569,U00445,standard,INR,active
A000570,U00446,standard,INR,active
A000571,U00447,premium,INR,active
A000572,U00447,premium,INR,active
A000573,U00448,premium,INR,active
A000574,U00449,premium,INR,active
A000575,U00450,premium,INR,active
A000576,U00451,standard,INR,active
A000577,U00452,standard,INR,active
A000578,U00453,standard,INR,active
A000579,U00454,standard,INR,active
A000580,U00455,premium,INR,active
A000581,U00455,premium,INR,active
A000582,U00456,standard,INR,active
A000583,U00457,premium,INR,active
A000584,U00458,premium,INR,active
A000585,U00459,premium,INR,active
A000586,U00460,premium,INR,active
A000587,U00461,premium,INR,active
A000588,U00462,standard,INR,active
A000589,U00463,standard,INR,active
A000590,U00464,premium,INR,active
A000591,U00465,premium,INR,active
A000592,U00466,premium,INR,active
A000593,U00467,standard,INR,active
A000594,U00468,standard,INR,active
A000595,U00468,premium,INR,active
A000596,U00469,premium,INR,active
A000597,U00470,standard,INR,active
A000598,U00471,premium,INR,active
A000599,U00471,premium,INR,active
A000600,U00472,standard,INR,active
A000601,U00473,standard,INR,active
A000602,U00474,standard,INR,active
A000603,U00474,standard,INR,active
A000604,U00475,standard,INR,active
A000605,U00476,standard,INR,active
A000606,U00477,premium,INR,active
A000607,U00477,standard,INR,active
A000608,U00478,standard,INR,active
A000609,U00479,premium,INR,active
A000610,U00479,standard,INR,active
A000611,U00480,premium,INR,active
A000612,U00481,standard,INR,active
A000613,U00482,premium,INR,active
A000614,U00483,premium,INR,active
A000615,U00484,standard,INR,active
A000616,U00485,premium,INR,active
A000617,U00486,standard,INR,active
A000618,U00487,standard,INR,active
A000619,U00487,standard,INR,active
A000620,U00488,premium,INR,active
A000621,U00489,premium,INR,active
A000622,U00490,premium,INR,active
A000623,U00491,premium,INR,active
A000624,U00491,standard,INR,active
A000625,U00492,standard,INR,active
A000626,U00493,standard,INR,active
A000627,U00494,standard,INR,active
A000628,U00495,premium,INR,active
A000629,U00496,premium,INR,active
A000630,U00496,premium,INR,active
A000631,U00497,premium,INR,active
A000632,U00498,premium,INR,active
A000633,U00499,premium,INR,active
A000634,U00500,standard,INR,active
A000635,U00501,standard,INR,active
A000636,U00502,standard,INR,active
A000637,U00503,premium,INR,active
A000638,U00504,standard,INR,active
A000639,U00505,premium,INR,active
A000640,U00506,standard,INR,active
A000641,U00506,premium,INR,active
A000642,U00507,standard,INR,active
A000643,U00508,premium,INR,active
A000644,U00509,standard,INR,active
A000645,U00509,standard,INR,active
A000646,U00510,standard,INR,active
A000647,U00510,standard,INR,active
A000648,U00511,standard,INR,active
A000649,U00512,standard,INR,active
A000650,U00513,standard,INR,active
A000651,U00514,premium,INR,active
A000652,U00514,standard,INR,active
A000653,U00515,standard,INR,active
A000654,U00516,standard,INR,active
A000655,U00517,premium,INR,active
A000656,U00518,standard,INR,active
A000657,U00519,standard,INR,active
A000658,U00520,premium,INR,active
A000659,U00521,standard,INR,active
A000660,U00522,premium,INR,active
A000661,U00522,premium,INR,active
A000662,U00523,premium,INR,active
A000663,U00524,standard,INR,active
A000664,U00524,premium,INR,active
A000665,U00525,standard,INR,active
A000666,U00526,premium,INR,active
A000667,U00527,standard,INR,active
A000668,U00527,standard,INR,active
A000669,U00528,premium,INR,active
A000670,U00529,premium,INR,active
A000671,U00529,premium,INR,active
A000672,U00530,standard,INR,active
A000673,U00531,premium,INR,active
A000674,U00532,premium,INR,active
A000675,U00533,standard,INR,active
A000676,U00534,premium,INR,active
A000677,U00535,premium,INR,active
A000678,U00536,premium,INR,active
A000679,U00536,premium,INR,active
A000680,U00537,premium,INR,active
A000681,U00537,standard,INR,active
A000682,U00538,premium,INR,active
A000683,U00539,standard,INR,active
A000684,U00540,standard,INR,active
A000685,U00541,premium,INR,active
A000686,U00541,standard,INR,active
A000687,U00542,standard,INR,active
A000688,U00543,standard,INR,active
A000689,U00544,standard,INR,active
A000690,U00545,premium,INR,active
A000691,U00546,standard,INR,active
A000692,U00547,standard,INR,active
A000693,U00548,premium,INR,active
A000694,U00549,premium,INR,active
A000695,U00550,standard,INR,active
A000696,U00551,premium,INR,active
A000697,U00551,standard,INR,active
A000698,U00552,standard,INR,active
A000699,U00552,standard,INR,active
A000700,U00553,standard,INR,active
A000701,U00554,standard,INR,active
A000702,U00555,standard,INR,active
A000703,U00555,premium,INR,active
A000704,U00556,standard,INR,active
A000705,U00557,standard,INR,active
A000706,U00558,standard,INR,active
A000707,U00559,standard,INR,active
A000708,U00560,standard,INR,active
A000709,U00561,standard,INR,active
A000710,U00562,premium,INR,active
A000711,U00563,premium,INR,active
A000712,U00564,premium,INR,active
A000713,U00565,standard,INR,active
A000714,U00566,premium,INR,active
A000715,U00566,premium,INR,active
A000716,U00567,premium,INR,active
A000717,U00568,standard,INR,active
A000718,U00569,premium,INR,active
A000719,U00569,premium,INR,active
A000720,U00570,standard,INR,active
A000721,U00571,premium,INR,active
A000722,U00572,standard,INR,active
A000723,U00573,standard,INR,active
A000724,U00574,premium,INR,active
A000725,U00575,premium,INR,active
A000726,U00576,standard,INR,active
A000727,U00577,premium,INR,active
A000728,U00578,standard,INR,active
A000729,U00579,premium,INR,active
A000730,U00580,premium,INR,active
A000731,U00581,standard,INR,active
A000732,U00582,premium,INR,active
A000733,U00583,standard,INR,active
A000734,U00584,standard,INR,active
A000735,U00585,premium,INR,active
A000736,U00585,premium,INR,active
A000737,U00586,premium,INR,active
A000738,U00587,premium,INR,active
A000739,U00587,premium,INR,active
A000740,U00588,standard,INR,active
A000741,U00588,premium,INR,active
A000742,U00589,standard,INR,active
A000743,U00590,standard,INR,active
A000744,U00590,standard,INR,active
A000745,U00591,standard,INR,active
A000746,U00592,premium,INR,active
A000747,U00593,standard,INR,active
A000748,U00594,standard,INR,active
A000749,U00595,standard,INR,active
A000750,U00595,standard,INR,active
A000751,U00596,premium,INR,active
A000752,U00597,standard,INR,active
A000753,U00597,premium,INR,active
A000754,U00598,premium,INR,active
A000755,U00599,standard,INR,active
A000756,U00600,premium,INR,active
A000757,U00601,standard,INR,active
A000758,U00602,premium,INR,active
A000759,U00602,premium,INR,active
A000760,U00603,standard,INR,active
A000761,U00604,standard,INR,active
A000762,U00605,premium,INR,active
A000763,U00605,standard,INR,active
A000764,U00606,premium,INR,active
A000765,U00607,premium,INR,active
A000766,U00608,premium,INR,active
A000767,U00609,standard,INR,active
A000768,U00609,standard,INR,active
A000769,U00610,standard,INR,active
A000770,U00611,premium,INR,active
A000771,U00612,premium,INR,active
A000772,U00613,premium,INR,active
A000773,U00614,premium,INR,active
A000774,U00614,premium,INR,active
A000775,U00615,standard,INR,active
A000776,U00616,standard,INR,active
A000777,U00616,premium,INR,active
A000778,U00617,premium,INR,active
A000779,U00617,standard,INR,active
A000780,U00618,standard,INR,active
A000781,U00618,premium,INR,active
A000782,U00619,premium,INR,active
A000783,U00619,premium,INR,active
A000784,U00620,premium,INR,active
A000785,U00621,standard,INR,active
A000786,U00622,standard,INR,active
A000787,U00623,premium,INR,active
A000788,U00624,standard,INR,active
A000789,U00625,premium,INR,active
A000790,U00625,premium,INR,active
A000791,U00626,premium,INR,active
A000792,U00627,standard,INR,active
A000793,U00628,standard,INR,active
A000794,U00628,standard,INR,active
A000795,U00629,premium,INR,active
A000796,U00630,standard,INR,active
A000797,U00631,standard,INR,active
A000798,U00632,standard,INR,active
A000799,U00633,standard,INR,active
A000800,U00633,premium,INR,active
A000801,U00634,standard,INR,active
A000802,U00635,premium,INR,active
A000803,U00636,standard,INR,active
A000804,U00637,premium,INR,active
A000805,U00637,premium,INR,active
A000806,U00638,premium,INR,active
A000807,U00639,premium,INR,active
A000808,U00640,premium,INR,active
A000809,U00641,standard,INR,active
A000810,U00642,standard,INR,active
A000811,U00643,premium,INR,active
A000812,U00644,premium,INR,active
A000813,U00645,premium,INR,active
A000814,U00646,premium,INR,active
A000815,U00646,standard,INR,active
A000816,U00647,premium,INR,active
A000817,U00648,standard,INR,active
A000818,U00648,premium,INR,active
A000819,U00649,premium,INR,active
A000820,U00650,standard,INR,active
A000821,U00651,premium,INR,active
A000822,U00652,premium,INR,active
A000823,U00653,premium,INR,active
A000824,U00654,premium,INR,active
A000825,U00655,premium,INR,active
A000826,U00656,standard,INR,active
A000827,U00657,premium,INR,active
A000828,U00658,premium,INR,active
A000829,U00658,premium,INR,active
A000830,U00659,standard,INR,active
A000831,U00659,standard,INR,active
A000832,U00660,standard,INR,active
A000833,U00660,premium,INR,active
A000834,U00661,premium,INR,active
A000835,U00661,standard,INR,active
A000836,U00662,standard,INR,active
A000837,U00663,premium,INR,active
A000838,U00664,standard,INR,active
A000839,U00665,standard,INR,active
A000840,U00666,standard,INR,active
A000841,U00667,standard,INR,active
A000842,U00668,standard,INR,active
A000843,U00668,premium,INR,active
A000844,U00669,premium,INR,active
A000845,U00670,premium,INR,active
A000846,U00671,standard,INR,active
A000847,U00671,standard,INR,active
A000848,U00672,premium,INR,active
A000849,U00673,premium,INR,active
A000850,U00673,standard,INR,active
A000851,U00674,premium,INR,active
A000852,U00674,premium,INR,active
A000853,U00675,premium,INR,active
A000854,U00676,premium,INR,active
A000855,U00677,premium,INR,active
A000856,U00678,standard,INR,active
A000857,U00679,standard,INR,active
A000858,U00680,standard,INR,active
A000859,U00681,premium,INR,active
A000860,U00682,standard,INR,active
A000861,U00683,standard,INR,active
A000862,U00683,standard,INR,active
A000863,U00684,standard,INR,active
A000864,U00685,premium,INR,active
A000865,U00686,premium,INR,active
A000866,U00687,premium,INR,active
A000867,U00687,premium,INR,active
A000868,U00688,standard,INR,active
A000869,U00689,premium,INR,active
A000870,U00689,premium,INR,active
A000871,U00690,standard,INR,active
A000872,U00691,premium,INR,active
