log_code,user_code,event_timestamp,ip_address,resource,action,status,location,device_type,session_id,failure_reason
L00000041,U00430,2026-06-29T09:41:48.350580+00:00,10.10.20.103,Documents,READ,success,Delhi,desktop,S886645,
L00000042,U00840,2026-08-06T11:47:24.350588+00:00,10.10.14.187,Dashboard,READ,success,Delhi,mobile,S452068,
L00000043,U00733,2026-09-04T15:21:39.350596+00:00,10.10.12.215,Documents,DOWNLOAD,success,Chennai,tablet,S115449,
L00000044,U00445,2026-08-24T21:08:26.350603+00:00,10.10.5.140,Documents,VIEW,success,Mumbai,desktop,S452992,
L00000045,U00595,2026-08-31T01:34:08.350611+00:00,10.10.10.196,Transactions,DOWNLOAD,success,Mumbai,desktop,S989182,
L00000046,U00649,2026-06-23T10:48:26.350619+00:00,10.10.2.24,Reports,READ,success,Bangalore,mobile,S196729,
L00000047,U00214,2026-08-20T19:58:55.350627+00:00,10.10.19.26,Reports,DOWNLOAD,success,Kolkata,mobile,S940670,
L00000048,U00260,2026-07-19T09:17:57.350635+00:00,10.10.4.215,Transactions,DOWNLOAD,success,Kolkata,tablet,S252637,
L00000049,U00043,2026-07-11T06:31:43.350642+00:00,10.10.15.20,Documents,READ,success,Chennai,mobile,S757087,
L00000050,U00993,2026-07-10T19:20:28.350650+00:00,10.10.13.141,Dashboard,READ,success,Kolkata,tablet,S499937,
L00000051,U00929,2026-08-22T17:24:07.350658+00:00,10.10.8.146,Transactions,DOWNLOAD,success,Mumbai,laptop,S650508,
L00000052,U00304,2026-08-27T09:35:55.350665+00:00,10.10.3.175,Transactions,VIEW,success,Hyderabad,tablet,S640906,
L00000053,U00778,2026-06-12T18:07:20.350674+00:00,10.10.6.25,Profile,VIEW,success,Mumbai,desktop,S319161,
L00000054,U00229,2026-08-17T21:55:41.350683+00:00,10.10.8.53,Dashboard,READ,success,Chennai,tablet,S430354,
L00000055,U00517,2026-08-21T03:21:59.350692+00:00,10.10.13.193,Documents,DOWNLOAD,success,Pune,desktop,S628557,
L00000056,U00558,2026-06-15T05:00:10.350701+00:00,10.10.19.55,Documents,DOWNLOAD,success,Mumbai,laptop,S398803,
L00000057,U00261,2026-07-30T21:10:20.350708+00:00,10.10.14.227,Documents,VIEW,success,Mumbai,desktop,S137198,
L00000058,U00937,2026-07-15T00:10:00.350716+00:00,10.10.12.65,Transactions,VIEW,success,Bangalore,mobile,S891674,
L00000059,U00335,2026-07-06T23:00:08.350724+00:00,10.10.7.69,Dashboard,READ,success,Pune,desktop,S358209,
L00000060,U00015,2026-06-10T15:36:50.350732+00:00,10.10.4.43,Profile,READ,success,Kolkata,laptop,S898115,
L00000061,U00466,2026-06-21T06:53:23.350739+00:00,10.10.3.184,Transactions,VIEW,success,Mumbai,tablet,S338933,
L00000062,U00049,2026-09-05T18:10:38.350748+00:00,10.10.15.102,Transactions,VIEW,success,Ahmedabad,laptop,S378408,
L00000063,U00383,2026-06-09T06:54:09.350755+00:00,10.10.17.6,Documents,DOWNLOAD,success,Bangalore,desktop,S336801,
L00000064,U00753,2026-07-13T13:38:06.350762+00:00,10.10.2.65,Transactions,READ,success,Ahmedabad,desktop,S383164,
L00000065,U00121,2026-08-24T09:41:25.350770+00:00,10.10.1.95,Reports,VIEW,success,Kolkata,tablet,S729227,
L00000066,U00401,2026-08-14T19:23:32.350780+00:00,10.10.13.186,Profile,VIEW,success,Mumbai,tablet,S195881,
L00000067,U00220,2026-07-06T16:05:10.350790+00:00,10.10.9.208,Transactions,VIEW,success,Kolkata,desktop,S901029,
L00000068,U00471,2026-06-25T17:30:48.350799+00:00,10.10.8.61,Documents,READ,success,Mumbai,laptop,S517544,
L00000069,U00746,2026-07-12T21:22:28.350807+00:00,10.10.14.47,Dashboard,VIEW,success,Chennai,desktop,S370997,
L00000070,U00724,2026-07-27T07:31:25.350815+00:00,10.10.11.212,Dashboard,VIEW,success,Mumbai,laptop,S213675,
L00000071,U00057,2026-07-24T11:59:52.350822+00:00,10.10.10.39,Transactions,VIEW,success,Ahmedabad,desktop,S962640,
L00000072,U00928,2026-08-05T00:39:28.350829+00:00,10.10.20.114,Transactions,READ,success,Pune,laptop,S916435,
L00000073,U00387,2026-07-25T03:16:28.350837+00:00,10.10.4.56,Documents,VIEW,success,Mumbai,tablet,S248262,
L00000074,U00251,2026-08-28T06:58:25.350846+00:00,10.10.10.118,Reports,VIEW,success,Bangalore,laptop,S875152,
L00000075,U00160,2026-08-03T02:41:04.350853+00:00,10.10.12.22,Reports,READ,success,Bangalore,desktop,S402426,
L00000076,U00902,2026-08-28T18:27:57.350860+00:00,10.10.19.210,Profile,READ,success,Kolkata,laptop,S634243,
L00000077,U00109,2026-07-19T01:43:31.350868+00:00,10.10.7.159,Documents,READ,success,Bangalore,desktop,S196720,
L00000078,U00395,2026-08-20T07:06:30.350876+00:00,10.10.3.220,Profile,VIEW,success,Chennai,tablet,S159651,
L00000079,U00564,2026-09-05T17:47:24.350884+00:00,10.10.1.3,Reports,VIEW,success,Delhi,tablet,S447100,
L00000080,U00127,2026-08-02T13:23:00.350891+00:00,10.10.15.11,Transactions,READ,success,Bangalore,mobile,S749761,
L00000081,U00783,2026-08-04T11:21:53.350899+00:00,10.10.6.63,Dashboard,READ,success,Pune,tablet,S991349,
L00000082,U00106,2026-07-19T18:36:52.350907+00:00,10.10.3.46,Transactions,DOWNLOAD,success,Mumbai,laptop,S293569,
L00000083,U00388,2026-08-28T13:37:41.350915+00:00,10.10.9.21,Profile,VIEW,success,Hyderabad,desktop,S207709,
L00000084,U00135,2026-06-14T06:03:33.350923+00:00,10.10.8.154,Transactions,READ,success,Ahmedabad,mobile,S969776,
L00000085,U00214,2026-06-26T20:55:23.350930+00:00,10.10.15.159,Profile,DOWNLOAD,success,Kolkata,tablet,S452591,
L00000086,U00543,2026-06-28T08:18:17.350941+00:00,10.10.11.75,Transactions,DOWNLOAD,success,Delhi,mobile,S813946,
L00000087,U00336,2026-08-19T11:25:49.350949+00:00,10.10.1.15,Documents,READ,success,Hyderabad,desktop,S992447,
L00000088,U00016,2026-06-19T11:56:15.350957+00:00,10.10.10.234,Transactions,READ,success,Delhi,laptop,S491048,
L00000089,U00333,2026-07-28T05:59:19.350964+00:00,10.10.7.233,Documents,READ,success,Bangalore,laptop,S228810,
L00000090,U00442,2026-06-09T11:16:30.350972+00:00,10.10.4.10,Profile,VIEW,success,Hyderabad,tablet,S818429,
L00000091,U00205,2026-08-28T02:02:23.350980+00:00,10.10.15.25,Reports,DOWNLOAD,success,Hyderabad,mobile,S867875,
L00000092,U00539,2026-07-18T14:02:21.350988+00:00,10.10.13.228,Documents,READ,success,Ahmedabad,tablet,S151312,
L00000093,U00946,2026-07-06T14:04:34.350996+00:00,10.10.7.93,Documents,READ,success,Kolkata,mobile,S590662,
L00000094,U00877,2026-08-17T01:29:34.351004+00:00,10.10.13.58,Documents,READ,success,Hyderabad,mobile,S587300,
L00000095,U00414,2026-07-01T04:42:33.351011+00:00,10.10.18.1,Transactions,READ,success,Pune,laptop,S669453,
L00000096,U00227,2026-07-23T04:01:53.351021+00:00,10.10.20.229,Profile,DOWNLOAD,success,Kolkata,laptop,S346415,
L00000097,U00348,2026-06-08T16:31:22.351029+00:00,10.10.7.174,Transactions,DOWNLOAD,success,Kolkata,laptop,S425961,
L00000098,U00621,2026-06-22T07:09:02.351037+00:00,10.10.2.71,Dashboard,READ,success,Delhi,laptop,S969181,
L00000099,U00167,2026-07-19T14:37:46.351045+00:00,10.10.15.170,Documents,VIEW,success,Hyderabad,desktop,S626908,
L00000100,U00989,2026-08-29T07:22:41.351053+00:00,10.10.4.223,Dashboard,VIEW,success,Ahmedabad,laptop,S320770,
L00000101,U00087,2026-06-27T06:53:55.351060+00:00,10.10.12.25,Documents,READ,success,Mumbai,tablet,S293360,
L00000102,U00141,2026-08-23T22:14:35.351068+00:00,10.10.10.209,Profile,READ,success,Ahmedabad,laptop,S117778,
L00000103,U00136,2026-08-10T10:57:22.351075+00:00,10.10.16.239,Dashboard,DOWNLOAD,success,Bangalore,laptop,S130647,
L00000104,U00549,2026-08-27T04:19:55.351083+00:00,10.10.19.104,Dashboard,DOWNLOAD,success,Delhi,mobile,S702083,
L00000105,U00005,2026-08-26T22:45:05.351090+00:00,10.10.11.213,Dashboard,VIEW,success,Pune,laptop,S260550,
L00000106,U00732,2026-07-13T10:54:50.351100+00:00,10.10.11.44,Documents,READ,success,Chennai,tablet,S491712,
L00000107,U00709,2026-07-30T17:30:04.351115+00:00,10.10.19.44,Documents,READ,success,Chennai,tablet,S305706,
L00000108,U00360,2026-07-25T12:44:06.351123+00:00,10.10.17.217,Reports,READ,success,Hyderabad,desktop,S382486,
L00000109,U00604,2026-06-11T06:47:52.351132+00:00,10.10.10.218,Reports,VIEW,success,Bangalore,mobile,S955315,
L00000110,U00622,2026-07-05T18:58:50.351140+00:00,10.10.4.18,Profile,READ,success,Pune,mobile,S815032,
L00000111,U00028,2026-07-29T13:12:07.351148+00:00,10.10.15.70,Documents,VIEW,success,Pune,laptop,S433006,
L00000112,U00297,2026-09-05T03:53:36.351156+00:00,10.10.10.56,Documents,READ,success,Bangalore,laptop,S401044,
L00000113,U00291,2026-08-31T23:46:43.351163+00:00,10.10.11.177,Documents,VIEW,success,Hyderabad,tablet,S647731,
L00000114,U00553,2026-08-16T04:19:36.351170+00:00,10.10.1.160,Documents,DOWNLOAD,success,Ahmedabad,mobile,S552453,
L00000115,U00419,2026-09-04T06:58:00.351178+00:00,10.10.19.10,Profile,VIEW,success,Delhi,tablet,S660383,
L00000116,U00688,2026-07-12T19:48:31.351190+00:00,10.10.10.126,Transactions,DOWNLOAD,success,Chennai,laptop,S182866,
L00000117,U00674,2026-08-08T11:11:11.351200+00:00,10.10.3.22,Transactions,DOWNLOAD,success,Chennai,mobile,S199105,
L00000118,U00258,2026-07-20T14:22:22.351208+00:00,10.10.5.91,Profile,VIEW,success,Bangalore,desktop,S688302,
L00000119,U00244,2026-08-14T14:21:37.351216+00:00,10.10.20.195,Dashboard,VIEW,success,Chennai,laptop,S340226,
L00000120,U00434,2026-07-13T22:33:52.351224+00:00,10.10.16.60,Transactions,DOWNLOAD,success,Ahmedabad,laptop,S406398,
L00000121,U00247,2026-07-27T06:01:44.351232+00:00,10.10.4.115,Documents,READ,success,Ahmedabad,mobile,S575818,
L00000122,U00996,2026-07-02T16:42:24.351239+00:00,10.10.11.9,Documents,READ,success,Mumbai,tablet,S264160,
L00000123,U00818,2026-06-26T20:21:18.351247+00:00,10.10.13.140,Transactions,DOWNLOAD,success,Pune,tablet,S365942,
L00000124,U00660,2026-08-08T17:52:40.351255+00:00,10.10.16.6,Profile,DOWNLOAD,success,Pune,mobile,S199543,
L00000125,U00849,2026-08-25T17:47:05.351263+00:00,10.10.3.20,Dashboard,READ,success,Kolkata,tablet,S849555,
L00000126,U00723,2026-08-21T13:26:14.351273+00:00,10.10.14.151,Profile,READ,success,Hyderabad,tablet,S903119,
L00000127,U00210,2026-06-17T10:05:35.351281+00:00,10.10.16.99,Reports,READ,success,Bangalore,mobile,S747964,
L00000128,U00698,2026-09-04T11:15:07.351289+00:00,10.10.16.192,Reports,DOWNLOAD,success,Delhi,laptop,S124699,
L00000129,U00429,2026-08-08T09:50:50.351297+00:00,10.10.18.253,Dashboard,READ,success,Delhi,tablet,S260230,
L00000130,U00223,2026-08-13T16:10:56.351304+00:00,10.10.12.71,Transactions,READ,success,Bangalore,laptop,S538755,
L00000131,U00879,2026-07-08T10:06:43.351312+00:00,10.10.4.167,Reports,DOWNLOAD,success,Chennai,mobile,S149290,
L00000132,U00410,2026-06-30T20:21:05.351320+00:00,10.10.10.77,Dashboard,READ,success,Pune,tablet,S525620,
L00000133,U00961,2026-08-08T21:11:43.351328+00:00,10.10.8.138,Documents,VIEW,success,Delhi,desktop,S634754,
L00000134,U00441,2026-09-03T23:41:18.351335+00:00,10.10.8.189,Documents,DOWNLOAD,success,Delhi,desktop,S960530,
L00000135,U00034,2026-09-04T12:28:34.351343+00:00,10.10.9.127,Documents,DOWNLOAD,success,Chennai,desktop,S565258,
L00000136,U00780,2026-07-30T23:12:45.351357+00:00,10.10.6.67,Reports,VIEW,success,Mumbai,tablet,S195671,
L00000137,U00240,2026-07-18T08:31:34.351365+00:00,10.10.9.123,Dashboard,DOWNLOAD,success,Delhi,tablet,S509685,
L00000138,U00893,2026-08-25T16:26:56.351374+00:00,10.10.6.180,Profile,DOWNLOAD,success,Chennai,tablet,S396070,
L00000139,U00649,2026-06-08T14:37:56.351381+00:00,10.10.7.89,Profile,READ,success,Bangalore,desktop,S343750,
L00000140,U00097,2026-06-27T06:10:05.351389+00:00,10.10.12.130,Dashboard,READ,success,Hyderabad,laptop,S429946,
L00000141,U00941,2026-06-25T15:19:19.351397+00:00,10.10.16.98,Profile,READ,success,Chennai,laptop,S506072,
L00000142,U00299,2026-07-30T21:59:06.351404+00:00,10.10.5.90,Dashboard,READ,success,Hyderabad,tablet,S692943,
L00000143,U00863,2026-07-07T00:03:00.351411+00:00,10.10.12.68,Reports,VIEW,success,Hyderabad,desktop,S308854,
L00000144,U00257,2026-08-01T12:41:26.351419+00:00,10.10.15.151,Transactions,VIEW,success,Kolkata,mobile,S161678,
L00000145,U00101,2026-06-16T23:13:45.351426+00:00,10.10.6.136,Reports,VIEW,success,Hyderabad,mobile,S119309,
L00000146,U00890,2026-06-15T20:35:11.351436+00:00,10.10.17.233,Dashboard,DOWNLOAD,success,Mumbai,laptop,S251167,
L00000147,U00526,2026-06-11T11:36:02.351446+00:00,10.10.15.128,Reports,READ,success,Bangalore,desktop,S960773,
L00000148,U00818,2026-08-18T17:08:49.351453+00:00,10.10.8.168,Profile,READ,success,Pune,tablet,S971736,
L00000149,U00071,2026-06-25T15:41:28.351462+00:00,10.10.10.75,Dashboard,DOWNLOAD,success,Mumbai,desktop,S169204,
L00000150,U00810,2026-06-30T19:03:01.351470+00:00,10.10.9.1,Reports,READ,success,Ahmedabad,tablet,S340500,
L00000151,U00369,2026-07-28T23:57:47.351478+00:00,10.10.16.253,Transactions,VIEW,success,Kolkata,mobile,S129037,
L00000152,U00935,2026-08-02T14:53:26.351485+00:00,10.10.14.64,Reports,VIEW,success,Mumbai,desktop,S115355,
L00000153,U00893,2026-08-15T21:33:53.351492+00:00,10.10.8.175,Reports,DOWNLOAD,success,Chennai,desktop,S649011,
L00000154,U00776,2026-08-03T12:34:30.351499+00:00,10.10.16.244,Reports,DOWNLOAD,success,Kolkata,desktop,S594266,
L00000155,U00075,2026-06-25T14:03:57.351507+00:00,10.10.4.25,Profile,VIEW,success,Pune,laptop,S243323,
L00000156,U00278,2026-08-11T15:59:50.351516+00:00,10.10.10.220,Documents,DOWNLOAD,success,Delhi,mobile,S248197,
L00000157,U00088,2026-09-04T02:10:39.351524+00:00,10.10.20.224,Dashboard,VIEW,success,Ahmedabad,mobile,S822531,
L00000158,U00357,2026-08-18T16:45:10.351531+00:00,10.10.20.123,Reports,VIEW,success,Chennai,tablet,S426007,
L00000159,U00868,2026-07-03T09:42:52.351539+00:00,10.10.17.143,Dashboard,DOWNLOAD,success,Mumbai,laptop,S893864,
L00000160,U00152,2026-06-23T19:13:16.351547+00:00,10.10.9.249,Transactions,READ,success,Bangalore,tablet,S367338,
L00000161,U00988,2026-07-04T08:31:52.351555+00:00,10.10.4.175,Transactions,VIEW,success,Pune,tablet,S198219,
L00000162,U00653,2026-07-03T19:41:52.351563+00:00,10.10.7.88,Documents,DOWNLOAD,success,Kolkata,mobile,S874420,
L00000163,U00769,2026-08-16T23:19:46.351571+00:00,10.10.11.121,Transactions,READ,success,Mumbai,laptop,S685631,
L00000164,U00596,2026-08-28T14:22:35.351579+00:00,10.10.20.47,Transactions,VIEW,success,Ahmedabad,laptop,S304390,
L00000165,U00391,2026-07-15T00:02:59.351586+00:00,10.10.6.205,Transactions,VIEW,success,Ahmedabad,tablet,S382329,
L00000166,U00083,2026-08-13T15:38:11.351596+00:00,10.10.8.222,Reports,VIEW,success,Bangalore,tablet,S418736,
L00000167,U00059,2026-07-05T16:36:19.351605+00:00,10.10.9.182,Transactions,DOWNLOAD,success,Mumbai,desktop,S439703,
L00000168,U00321,2026-08-16T19:24:21.351618+00:00,10.10.10.189,Dashboard,READ,success,Hyderabad,desktop,S452146,
L00000169,U00931,2026-08-19T19:51:15.351626+00:00,10.10.14.229,Profile,READ,success,Chennai,mobile,S698124,
L00000170,U00903,2026-08-31T23:34:42.351634+00:00,10.10.14.101,Profile,VIEW,success,Mumbai,laptop,S172976,
L00000171,U00583,2026-08-25T00:41:39.351642+00:00,10.10.13.110,Reports,DOWNLOAD,success,Bangalore,tablet,S657859,
L00000172,U00765,2026-07-15T06:09:22.351649+00:00,10.10.1.214,Reports,VIEW,success,Pune,desktop,S216999,
L00000173,U00063,2026-06-11T01:22:19.351657+00:00,10.10.20.237,Profile,DOWNLOAD,success,Kolkata,laptop,S227287,
L00000174,U00744,2026-08-18T07:18:53.351665+00:00,10.10.7.97,Transactions,VIEW,success,Ahmedabad,desktop,S864442,
L00000175,U00022,2026-06-29T14:28:47.351673+00:00,10.10.15.75,Transactions,READ,success,Ahmedabad,desktop,S456590,
L00000176,U00493,2026-07-26T00:57:42.351683+00:00,10.10.7.174,Dashboard,DOWNLOAD,success,Kolkata,laptop,S301806,
L00000177,U00947,2026-07-07T12:14:41.351691+00:00,10.10.14.119,Documents,READ,success,Pune,laptop,S781914,
L00000178,U00357,2026-06-24T18:49:48.351699+00:00,10.10.15.12,Reports,DOWNLOAD,success,Chennai,mobile,S832924,
L00000179,U00487,2026-06-14T10:21:58.351706+00:00,10.10.1.30,Dashboard,READ,success,Delhi,tablet,S243572,
L00000180,U00385,2026-08-06T22:40:05.351714+00:00,10.10.19.232,Dashboard,DOWNLOAD,success,Mumbai,desktop,S948910,
L00000181,U00396,2026-08-13T10:13:40.351722+00:00,10.10.20.28,Profile,READ,success,Hyderabad,mobile,S865802,
L00000182,U00311,2026-07-13T03:59:38.351729+00:00,10.10.10.157,Reports,DOWNLOAD,success,Chennai,tablet,S624770,
L00000183,U00893,2026-08-27T16:58:53.351737+00:00,10.10.2.203,Transactions,VIEW,success,Chennai,mobile,S126625,
L00000184,U00174,2026-06-30T00:55:06.351746+00:00,10.10.19.252,Dashboard,VIEW,success,Bangalore,mobile,S265234,
L00000185,U00504,2026-06-29T16:34:26.351753+00:00,10.10.17.16,Reports,VIEW,success,Ahmedabad,laptop,S296854,
L00000186,U00365,2026-08-24T20:24:12.351763+00:00,10.10.1.173,Dashboard,VIEW,success,Ahmedabad,mobile,S790055,
L00000187,U00168,2026-08-15T08:08:25.351771+00:00,10.10.7.48,Reports,READ,success,Delhi,mobile,S172319,
L00000188,U00504,2026-06-21T04:13:20.351779+00:00,10.10.8.202,Dashboard,VIEW,success,Ahmedabad,laptop,S681495,
L00000189,U00033,2026-07-07T00:07:48.351790+00:00,10.10.16.159,Profile,VIEW,success,Chennai,laptop,S158636,
L00000190,U00630,2026-06-15T22:09:03.351798+00:00,10.10.13.102,Profile,READ,success,Pune,mobile,S271663,
L00000191,U00931,2026-06-14T08:05:18.351806+00:00,10.10.5.174,Reports,VIEW,success,Chennai,laptop,S506300,
L00000192,U00393,2026-07-17T17:09:18.351813+00:00,10.10.7.62,Reports,DOWNLOAD,success,Delhi,tablet,S865545,
L00000193,U00708,2026-08-13T06:03:07.351821+00:00,10.10.19.229,Reports,VIEW,success,Delhi,laptop,S118418,
L00000194,U00960,2026-09-02T11:06:55.351828+00:00,10.10.2.18,Documents,VIEW,success,Delhi,mobile,S990745,
L00000195,U00375,2026-06-09T05:17:07.351836+00:00,10.10.13.131,Transactions,DOWNLOAD,success,Delhi,laptop,S346782,
L00000196,U00168,2026-08-24T18:40:40.351847+00:00,10.10.5.9,Documents,VIEW,success,Delhi,laptop,S959203,
L00000197,U00776,2026-08-06T19:09:35.351855+00:00,10.10.17.129,Reports,READ,success,Kolkata,desktop,S431176,
L00000198,U00321,2026-07-18T01:45:26.351862+00:00,10.10.4.160,Dashboard,VIEW,success,Hyderabad,tablet,S333617,
L00000199,U00328,2026-08-26T21:23:18.351870+00:00,10.10.1.235,Dashboard,VIEW,success,Pune,desktop,S613742,
L00000200,U00622,2026-07-14T22:06:18.351877+00:00,10.10.11.67,Transactions,READ,success,Pune,desktop,S334077,
L00000201,U00230,2026-09-03T00:38:57.351885+00:00,10.10.14.101,Documents,VIEW,success,Pune,mobile,S640319,
L00000202,U00800,2026-07-05T17:53:41.351893+00:00,10.10.13.112,Dashboard,VIEW,success,Mumbai,mobile,S471715,
L00000203,U00714,2026-08-23T11:24:57.351901+00:00,10.10.13.202,Reports,DOWNLOAD,success,Chennai,desktop,S879406,
L00000204,U00631,2026-06-20T21:41:05.351908+00:00,10.10.9.210,Documents,READ,success,Pune,mobile,S203446,
L00000205,U00917,2026-08-08T10:07:22.351916+00:00,10.10.12.136,Profile,DOWNLOAD,success,Chennai,tablet,S322739,
L00000206,U00548,2026-08-04T02:31:39.351927+00:00,10.10.5.215,Transactions,READ,success,Delhi,tablet,S139330,
L00000207,U00330,2026-07-09T08:25:35.351935+00:00,10.10.14.61,Dashboard,READ,success,Hyderabad,tablet,S340773,
L00000208,U00630,2026-08-21T10:32:43.351942+00:00,10.10.4.143,Documents,DOWNLOAD,success,Pune,tablet,S563242,
L00000209,U00251,2026-06-22T13:06:32.351950+00:00,10.10.9.206,Transactions,VIEW,success,Bangalore,laptop,S422856,
L00000210,U00392,2026-07-25T05:34:06.351958+00:00,10.10.5.106,Documents,READ,success,Hyderabad,mobile,S582365,
L00000211,U00890,2026-07-29T16:47:02.351968+00:00,10.10.8.76,Dashboard,DOWNLOAD,success,Mumbai,mobile,S281155,
L00000212,U00132,2026-08-02T05:41:40.351975+00:00,10.10.2.136,Dashboard,READ,success,Hyderabad,mobile,S203178,
L00000213,U00364,2026-08-21T13:25:06.351983+00:00,10.10.3.125,Reports,VIEW,success,Bangalore,tablet,S110629,
L00000214,U00437,2026-07-14T01:43:47.351990+00:00,10.10.15.241,Documents,READ,success,Chennai,laptop,S397390,
L00000215,U00603,2026-08-29T19:06:49.351998+00:00,10.10.19.106,Profile,DOWNLOAD,success,Ahmedabad,desktop,S333913,
L00000216,U00304,2026-07-09T15:41:56.352007+00:00,10.10.4.54,Profile,VIEW,success,Hyderabad,desktop,S109074,
L00000217,U00729,2026-07-16T17:23:02.352015+00:00,10.10.13.134,Dashboard,VIEW,success,Kolkata,desktop,S153698,
