transaction_code,account_code,transaction_timestamp,amount,currency,merchant,category,location,payment_method,channel,status
T00000031,A001223,2026-08-29T15:42:53.365734+00:00,2954.0,INR,Swiggy,Food,Ahmedabad,upi,mobile,success
T00000032,A000803,2026-08-21T12:34:02.365745+00:00,1542.27,INR,Coursera,Education,Delhi,netbanking,mobile,success
T00000033,A000522,2026-07-16T13:08:01.365755+00:00,1255.4,INR,Ola,Travel,Kolkata,netbanking,online,success
T00000034,A000596,2026-07-09T22:01:41.365766+00:00,1968.52,INR,Coursera,Education,Hyderabad,upi,branch,success
T00000035,A001112,2026-08-06T20:17:46.365775+00:00,1461.72,INR,IndiGo,Travel,Ahmedabad,upi,mobile,success
T00000036,A000239,2026-07-13T18:24:01.365787+00:00,355.17,INR,MedPlus,Healthcare,Mumbai,upi,mobile,success
T00000037,A000588,2026-08-01T05:44:34.365798+00:00,6276.11,INR,Uber,Travel,Chennai,upi,mobile,success
T00000038,A000254,2026-07-26T19:51:15.365808+00:00,1290.21,INR,IndiGo,Travel,Chennai,card,branch,success
T00000039,A000672,2026-07-17T00:03:02.365818+00:00,715.68,INR,Coursera,Education,Kolkata,card,branch,success
T00000040,A000211,2026-06-17T16:06:23.365828+00:00,3049.63,INR,Spotify,Entertainment,Delhi,upi,branch,success
T00000041,A000440,2026-07-11T17:36:42.365838+00:00,868.48,INR,Reliance Digital,Electronics,Ahmedabad,card,mobile,success
T00000042,A000157,2026-06-25T06:24:42.365848+00:00,1810.29,INR,Spotify,Entertainment,Pune,upi,mobile,success
T00000043,A000426,2026-07-23T08:19:39.365858+00:00,3177.9,INR,Udemy,Education,Bangalore,netbanking,online,success
T00000044,A001121,2026-08-29T17:47:20.365868+00:00,1015.6,INR,Reliance Digital,Electronics,Mumbai,card,online,success
T00000045,A000209,2026-07-04T06:57:46.365877+00:00,640.52,INR,Spotify,Entertainment,Delhi,netbanking,branch,success
T00000046,A000519,2026-07-18T12:22:16.365889+00:00,2724.85,INR,Udemy,Education,Bangalore,card,online,success
T00000047,A001104,2026-06-28T18:22:26.365899+00:00,3377.58,INR,MakeMyTrip,Travel,Kolkata,card,mobile,success
T00000048,A000130,2026-06-10T21:08:29.365909+00:00,4179.33,INR,Amazon,Shopping,Mumbai,upi,branch,success
T00000049,A000985,2026-07-08T08:35:34.365918+00:00,910.56,INR,Reliance Digital,Shopping,Kolkata,card,online,success
T00000050,A000953,2026-06-11T02:16:58.365927+00:00,1635.68,INR,Coursera,Education,Pune,card,branch,success
T00000051,A000469,2026-07-31T13:54:36.365937+00:00,945.06,INR,Udemy,Education,Ahmedabad,upi,online,success
T00000052,A001240,2026-07-29T03:27:24.365949+00:00,2194.91,INR,Udemy,Education,Kolkata,netbanking,branch,success
T00000053,A000692,2026-07-21T05:18:57.365959+00:00,1296.49,INR,Croma,Electronics,Chennai,upi,mobile,success
T00000054,A000541,2026-08-14T02:19:37.365969+00:00,894.58,INR,MakeMyTrip,Travel,Bangalore,upi,mobile,success
T00000055,A000390,2026-07-31T13:08:02.365978+00:00,3694.99,INR,Apollo Pharmacy,Healthcare,Ahmedabad,upi,online,success
T00000056,A000540,2026-08-27T18:04:53.365991+00:00,401.77,INR,MedPlus,Healthcare,Bangalore,upi,online,success
T00000057,A000341,2026-07-05T23:03:07.366001+00:00,1911.82,INR,MedPlus,Healthcare,Kolkata,netbanking,branch,success
T00000058,A000690,2026-06-26T13:17:17.366011+00:00,1197.51,INR,MedPlus,Healthcare,Pune,upi,online,success
T00000059,A000197,2026-06-20T11:04:09.366021+00:00,828.71,INR,Dominos,Food,Delhi,netbanking,mobile,success
T00000060,A000939,2026-07-14T09:07:29.366031+00:00,685.75,INR,BookMyShow,Entertainment,Ahmedabad,upi,branch,success
T00000061,A001021,2026-06-15T06:02:43.366041+00:00,690.77,INR,Reliance Digital,Electronics,Delhi,netbanking,mobile,success
T00000062,A000235,2026-07-02T07:38:11.366050+00:00,297.09,INR,Jio,Utilities,Pune,netbanking,online,success
T00000063,A000257,2026-07-16T02:25:44.366060+00:00,6783.22,INR,Reliance Digital,Shopping,Pune,netbanking,mobile,success
T00000064,A001202,2026-07-02T21:58:06.366069+00:00,1611.75,INR,MakeMyTrip,Travel,Delhi,upi,branch,success
T00000065,A000389,2026-07-20T11:22:36.366079+00:00,865.56,INR,XYZ Electronics,Electronics,Kolkata,upi,online,success
T00000066,A000217,2026-08-03T17:42:52.366096+00:00,1108.85,INR,Amazon,Shopping,Mumbai,netbanking,mobile,success
T00000067,A000888,2026-06-17T04:41:16.366122+00:00,2196.65,INR,Reliance Digital,Electronics,Hyderabad,netbanking,branch,success
T00000068,A000445,2026-06-20T12:54:22.366135+00:00,1059.59,INR,Swiggy,Food,Ahmedabad,upi,online,success
T00000069,A000413,2026-09-03T13:44:37.366150+00:00,728.74,INR,Udemy,Education,Bangalore,card,mobile,success
T00000070,A000914,2026-06-26T10:34:43.366163+00:00,1502.7,INR,Electricity Board,Utilities,Mumbai,netbanking,mobile,success
T00000071,A000425,2026-06-23T21:20:03.366175+00:00,4709.41,INR,Electricity Board,Utilities,Bangalore,card,branch,success
T00000072,A000201,2026-06-08T09:23:03.366188+00:00,3485.38,INR,Jio,Utilities,Pune,netbanking,branch,success
T00000073,A000499,2026-07-09T10:58:42.366202+00:00,1734.38,INR,Zomato,Food,Delhi,netbanking,online,success
T00000074,A000853,2026-06-23T06:51:33.366217+00:00,1430.45,INR,Spotify,Entertainment,Delhi,netbanking,mobile,success
T00000075,A000423,2026-06-12T13:42:55.366227+00:00,436.49,INR,Croma,Electronics,Kolkata,card,online,success
T00000076,A001126,2026-08-02T18:15:42.366238+00:00,687.38,INR,Netflix,Entertainment,Ahmedabad,netbanking,mobile,success
T00000077,A000852,2026-06-15T04:51:18.366247+00:00,605.39,INR,Electricity Board,Utilities,Chennai,card,online,success
T00000078,A000848,2026-08-01T11:59:15.366258+00:00,1186.3,INR,Myntra,Shopping,Ahmedabad,netbanking,mobile,success
T00000079,A001061,2026-08-18T14:45:02.366268+00:00,2452.81,INR,Swiggy,Food,Hyderabad,card,mobile,success
T00000080,A000099,2026-06-26T17:10:54.366278+00:00,657.4,INR,Reliance Digital,Shopping,Chennai,card,branch,success
T00000081,A000849,2026-08-21T17:16:36.366287+00:00,1605.94,INR,MakeMyTrip,Travel,Pune,netbanking,branch,success
T00000082,A000470,2026-07-31T17:13:09.366297+00:00,2516.4,INR,Apollo Pharmacy,Healthcare,Hyderabad,upi,branch,success
T00000083,A000444,2026-08-27T12:47:15.366307+00:00,2997.03,INR,Udemy,Education,Delhi,netbanking,mobile,success
T00000084,A000788,2026-07-02T23:46:39.366316+00:00,914.85,INR,Spotify,Entertainment,Hyderabad,upi,mobile,success
T00000085,A000585,2026-06-08T23:00:48.366326+00:00,1758.91,INR,Dominos,Food,Hyderabad,upi,online,success
T00000086,A000277,2026-06-17T11:24:42.366339+00:00,1388.57,INR,Zomato,Food,Kolkata,card,mobile,success
T00000087,A000467,2026-06-17T05:51:41.366349+00:00,844.23,INR,Ola,Travel,Ahmedabad,netbanking,mobile,success
T00000088,A000733,2026-07-25T17:28:24.366360+00:00,5893.86,INR,Flipkart,Shopping,Bangalore,netbanking,branch,success
T00000089,A000745,2026-07-12T02:26:35.366370+00:00,639.47,INR,Jio,Utilities,Mumbai,upi,mobile,success
T00000090,A001194,2026-06-12T07:40:06.366380+00:00,1622.64,INR,Spotify,Entertainment,Kolkata,upi,branch,success
T00000091,A000729,2026-08-12T17:23:26.366389+00:00,1345.11,INR,Croma,Electronics,Chennai,netbanking,mobile,success
T00000092,A001242,2026-06-22T16:36:03.366399+00:00,782.86,INR,Reliance Digital,Shopping,Chennai,card,mobile,success
T00000093,A000105,2026-07-27T01:02:22.366409+00:00,1465.01,INR,McDonalds,Food,Pune,upi,branch,success
T00000094,A000167,2026-08-01T19:19:20.366420+00:00,1570.11,INR,Coursera,Education,Delhi,netbanking,branch,success
T00000095,A000680,2026-07-11T18:30:29.366430+00:00,1140.23,INR,BookMyShow,Entertainment,Delhi,netbanking,branch,success
T00000096,A000033,2026-07-21T02:03:40.366445+00:00,4473.92,INR,Uber,Travel,Delhi,card,online,success
T00000097,A000258,2026-07-10T13:02:08.366456+00:00,507.71,INR,MakeMyTrip,Travel,Hyderabad,card,branch,success
T00000098,A000696,2026-07-25T05:14:23.366466+00:00,1728.86,INR,Spotify,Entertainment,Hyderabad,netbanking,branch,success
T00000099,A000181,2026-07-03T02:57:48.366475+00:00,1879.13,INR,Apollo Pharmacy,Healthcare,Pune,card,online,success
T00000100,A000370,2026-08-11T16:33:58.366485+00:00,444.2,INR,Jio,Utilities,Hyderabad,netbanking,mobile,success
T00000101,A001116,2026-07-25T09:03:05.366496+00:00,1394.62,INR,Dominos,Food,Ahmedabad,netbanking,branch,success
T00000102,A000113,2026-06-10T09:46:43.366505+00:00,1341.64,INR,Spotify,Entertainment,Bangalore,card,online,success
T00000103,A001185,2026-07-11T23:45:45.366518+00:00,1268.95,INR,Croma,Electronics,Ahmedabad,netbanking,mobile,success
T00000104,A000466,2026-09-01T15:10:24.366528+00:00,964.95,INR,BookMyShow,Entertainment,Bangalore,upi,online,success
T00000105,A001211,2026-07-28T21:04:02.366538+00:00,1696.13,INR,BookMyShow,Entertainment,Hyderabad,netbanking,branch,success
T00000106,A001125,2026-09-04T15:32:38.366549+00:00,879.56,INR,MedPlus,Healthcare,Delhi,netbanking,mobile,success
T00000107,A000586,2026-08-25T00:05:12.366557+00:00,2207.15,INR,Spotify,Entertainment,Ahmedabad,card,online,success
T00000108,A000403,2026-06-26T04:46:23.366569+00:00,3098.75,INR,Apollo Pharmacy,Healthcare,Bangalore,upi,online,success
T00000109,A000939,2026-07-07T18:33:33.366578+00:00,3262.79,INR,Reliance Digital,Electronics,Ahmedabad,upi,branch,success
T00000110,A001200,2026-06-10T20:45:11.366588+00:00,2056.67,INR,Uber,Travel,Chennai,netbanking,branch,success
T00000111,A000347,2026-08-30T01:18:44.366598+00:00,1185.2,INR,Netflix,Entertainment,Delhi,upi,mobile,success
T00000112,A000617,2026-08-20T21:27:15.366608+00:00,782.02,INR,Uber,Travel,Delhi,card,online,success
T00000113,A000230,2026-07-19T19:59:02.366618+00:00,9276.81,INR,Coursera,Education,Delhi,upi,online,success
T00000114,A000787,2026-08-04T23:22:29.366628+00:00,123.11,INR,XYZ Electronics,Electronics,Hyderabad,netbanking,branch,success
T00000115,A000827,2026-09-01T13:04:56.366637+00:00,912.41,INR,Amazon,Shopping,Mumbai,card,branch,success
T00000116,A000697,2026-06-26T18:05:25.366649+00:00,1577.6,INR,Swiggy,Food,Hyderabad,upi,mobile,success
T00000117,A000522,2026-09-05T13:12:31.366664+00:00,1221.88,INR,Electricity Board,Utilities,Kolkata,card,branch,success
T00000118,A000672,2026-06-25T18:36:16.366676+00:00,3058.67,INR,Coursera,Education,Kolkata,netbanking,branch,success
T00000119,A000708,2026-07-22T08:51:34.366686+00:00,1079.18,INR,Apollo Pharmacy,Healthcare,Hyderabad,netbanking,branch,success
T00000120,A001155,2026-08-17T01:38:28.366696+00:00,582.82,INR,Coursera,Education,Delhi,netbanking,online,success
T00000121,A000116,2026-08-17T21:26:44.366705+00:00,1637.89,INR,Udemy,Education,Ahmedabad,netbanking,branch,success
T00000122,A001217,2026-09-04T21:24:35.366714+00:00,1439.81,INR,Apollo Pharmacy,Healthcare,Delhi,upi,branch,success
T00000123,A001124,2026-07-19T01:24:11.366724+00:00,2481.04,INR,MakeMyTrip,Travel,Chennai,upi,mobile,success
T00000124,A000943,2026-06-28T00:23:08.366733+00:00,1630.54,INR,Airtel,Utilities,Ahmedabad,card,branch,success
T00000125,A000985,2026-08-06T08:24:43.366742+00:00,904.55,INR,Swiggy,Food,Kolkata,upi,online,success
T00000126,A000282,2026-07-02T01:55:47.366754+00:00,1171.52,INR,Coursera,Education,Bangalore,netbanking,mobile,success
T00000127,A000802,2026-08-12T01:55:17.366764+00:00,1051.05,INR,Swiggy,Food,Hyderabad,netbanking,branch,success
T00000128,A000389,2026-06-23T23:38:42.366774+00:00,463.34,INR,Flipkart,Shopping,Kolkata,netbanking,mobile,success
T00000129,A000791,2026-06-17T08:42:24.366784+00:00,2286.63,INR,Coursera,Education,Chennai,upi,mobile,success
T00000130,A000485,2026-08-14T18:17:15.366794+00:00,433.39,INR,Amazon,Shopping,Pune,upi,mobile,success
T00000131,A000684,2026-08-02T19:05:19.366803+00:00,2677.87,INR,Netflix,Entertainment,Delhi,netbanking,branch,success
T00000132,A000687,2026-07-19T18:48:50.366813+00:00,2916.4,INR,Udemy,Education,Delhi,netbanking,mobile,success
T00000133,A000335,2026-07-26T03:19:31.366823+00:00,1828.89,INR,IndiGo,Travel,Bangalore,card,branch,success
T00000134,A000301,2026-08-24T22:49:36.366834+00:00,1628.16,INR,Netflix,Entertainment,Mumbai,netbanking,mobile,success
T00000135,A000542,2026-06-09T10:01:53.366844+00:00,462.26,INR,Croma,Electronics,Pune,netbanking,online,success
T00000136,A000891,2026-07-31T17:17:05.366856+00:00,2381.17,INR,Electricity Board,Utilities,Bangalore,upi,online,success
T00000137,A000145,2026-08-28T02:30:25.366866+00:00,962.04,INR,Croma,Electronics,Chennai,card,online,success
T00000138,A000435,2026-09-02T22:21:12.366877+00:00,1969.48,INR,Udemy,Education,Chennai,netbanking,mobile,success
T00000139,A000603,2026-08-01T05:21:48.366887+00:00,2582.19,INR,Dominos,Food,Bangalore,netbanking,online,success
T00000140,A000270,2026-08-08T03:34:58.366900+00:00,2717.95,INR,Reliance Digital,Electronics,Kolkata,netbanking,online,success
T00000141,A000736,2026-08-15T19:05:46.366911+00:00,3515.11,INR,Ola,Travel,Chennai,upi,branch,success
T00000142,A000043,2026-06-29T07:20:57.366921+00:00,476.55,INR,MedPlus,Healthcare,Chennai,netbanking,mobile,success
T00000143,A000228,2026-07-21T09:46:31.366930+00:00,7784.47,INR,Croma,Electronics,Hyderabad,netbanking,online,success
T00000144,A001033,2026-06-22T05:36:30.366940+00:00,2616.68,INR,Ola,Travel,Pune,card,branch,success
T00000145,A000874,2026-08-31T06:51:38.366950+00:00,2368.67,INR,Spotify,Entertainment,Hyderabad,netbanking,online,success
T00000146,A000007,2026-07-10T16:19:42.366962+00:00,2521.86,INR,Swiggy,Food,Pune,upi,online,success
T00000147,A000130,2026-07-09T11:24:44.366972+00:00,1563.6,INR,Zomato,Food,Mumbai,card,online,success
T00000148,A000375,2026-06-22T19:38:58.366982+00:00,4181.22,INR,Reliance Digital,Electronics,Delhi,card,mobile,success
T00000149,A000146,2026-07-04T15:18:14.366992+00:00,720.65,INR,Myntra,Shopping,Bangalore,card,branch,success
T00000150,A001040,2026-07-30T19:20:34.367002+00:00,695.65,INR,BookMyShow,Entertainment,Hyderabad,upi,online,success
T00000151,A000167,2026-06-25T16:46:03.367012+00:00,1124.61,INR,Udemy,Education,Delhi,netbanking,branch,success
T00000152,A001148,2026-08-20T22:54:46.367023+00:00,327.01,INR,XYZ Electronics,Electronics,Chennai,netbanking,branch,success
T00000153,A000100,2026-08-13T18:39:22.367034+00:00,1811.53,INR,Ola,Travel,Hyderabad,netbanking,branch,success
T00000154,A000986,2026-09-04T22:49:43.367043+00:00,833.48,INR,Udemy,Education,Chennai,upi,mobile,success
T00000155,A000238,2026-06-19T06:45:10.367053+00:00,1253.74,INR,,Electronics,Hyderabad,upi,mobile,success
T00000156,A000601,2026-07-27T15:18:55.367065+00:00,3393.58,INR,Airtel,Utilities,Kolkata,card,mobile,success
T00000157,A001054,2026-07-30T01:05:38.367075+00:00,1455.27,INR,Reliance Digital,Electronics,Bangalore,upi,mobile,success
T00000158,A000763,2026-07-15T14:03:50.367085+00:00,1933.28,INR,BookMyShow,Entertainment,Pune,card,mobile,success
T00000159,A000270,2026-06-25T03:01:31.367095+00:00,1541.06,INR,Apollo Pharmacy,Healthcare,Kolkata,netbanking,branch,success
T00000160,A000099,2026-08-27T03:09:34.367127+00:00,1695.11,INR,Amazon,Shopping,Chennai,upi,online,success
T00000161,A000402,2026-07-10T02:37:24.367142+00:00,2056.58,INR,Reliance Digital,Shopping,Hyderabad,upi,branch,success
T00000162,A000855,2026-08-20T19:49:33.367153+00:00,853.99,INR,Amazon,Shopping,Hyderabad,card,branch,success
T00000163,A000193,2026-06-28T06:56:00.367162+00:00,936.6,INR,Airtel,Utilities,Chennai,netbanking,mobile,success
T00000164,A000391,2026-08-30T02:11:16.367173+00:00,1830.86,INR,Apollo Pharmacy,Healthcare,Ahmedabad,upi,online,success
T00000165,A000486,2026-06-18T23:19:21.367182+00:00,6355.04,INR,Dominos,Food,Mumbai,upi,online,success
T00000166,A000304,2026-07-15T08:49:04.367194+00:00,2431.4,INR,MedPlus,Healthcare,Hyderabad,upi,branch,success
T00000167,A000274,2026-08-28T20:57:42.367203+00:00,439.57,INR,Udemy,Education,Mumbai,upi,online,success
T00000168,A000377,2026-08-30T20:00:29.367217+00:00,750.42,INR,IndiGo,Travel,Bangalore,upi,branch,success
T00000169,A000783,2026-07-15T16:09:25.367227+00:00,1201.48,INR,IndiGo,Travel,Hyderabad,upi,online,success
T00000170,A000242,2026-08-16T11:05:24.367237+00:00,2692.48,INR,Zomato,Food,Delhi,netbanking,mobile,success
T00000171,A000538,2026-08-14T08:40:55.367248+00:00,1839.16,INR,McDonalds,Food,Ahmedabad,card,online,success
T00000172,A000943,2026-07-02T03:08:14.367258+00:00,1406.42,INR,Coursera,Education,Ahmedabad,upi,branch,success
T00000173,A000957,2026-08-22T21:48:23.367267+00:00,6694.64,INR,Electricity Board,Utilities,Bangalore,card,mobile,success
T00000174,A000591,2026-07-06T09:36:41.367279+00:00,100,INR,Reliance Digital,Electronics,Bangalore,card,online,success
T00000175,A000897,2026-08-02T22:34:02.367289+00:00,427.3,INR,Airtel,Utilities,Mumbai,card,branch,success
T00000176,A000381,2026-08-29T23:43:05.367302+00:00,1307.73,INR,Airtel,Utilities,Hyderabad,upi,mobile,success
T00000177,A000170,2026-08-19T01:37:31.367311+00:00,702.12,INR,Electricity Board,Utilities,Bangalore,card,branch,success
T00000178,A000584,2026-06-25T21:01:22.367322+00:00,448.08,INR,IndiGo,Travel,Pune,netbanking,online,success
T00000179,A000451,2026-08-20T09:46:04.367331+00:00,2794.83,INR,IndiGo,Travel,Bangalore,upi,mobile,success
T00000180,A000308,2026-06-13T14:17:42.367341+00:00,300.71,INR,Ola,Travel,Chennai,netbanking,mobile,success
T00000181,A000972,2026-07-24T13:29:15.367351+00:00,627.2,INR,Dominos,Food,Chennai,netbanking,branch,success
T00000182,A000302,2026-06-09T11:20:59.367361+00:00,1285.89,INR,MedPlus,Healthcare,Delhi,upi,mobile,success
T00000183,A000503,2026-08-29T06:55:37.367375+00:00,412.01,INR,Dominos,Food,Hyderabad,upi,branch,success
T00000184,A001180,2026-08-10T20:26:14.367385+00:00,271.91,INR,Reliance Digital,Electronics,Chennai,netbanking,mobile,success
T00000185,A000601,2026-07-08T17:40:42.367395+00:00,1458.21,INR,Netflix,Entertainment,Kolkata,netbanking,online,success
T00000186,A000869,2026-08-17T17:39:48.367408+00:00,502.13,INR,Flipkart,Shopping,Chennai,upi,mobile,success
T00000187,A000251,2026-08-05T12:22:30.367418+00:00,1593.59,INR,Zomato,Food,Mumbai,netbanking,online,success
T00000188,A000916,2026-09-03T07:32:31.367429+00:00,2350.13,INR,Flipkart,Shopping,Chennai,card,branch,success
T00000189,A000239,2026-07-22T08:18:26.367439+00:00,658.11,INR,Electricity Board,Utilities,Mumbai,upi,mobile,success
T00000190,A000894,2026-06-14T03:39:13.367449+00:00,2480.41,INR,Jio,Utilities,Chennai,upi,mobile,success
T00000191,A000231,2026-06-25T15:30:26.367458+00:00,1142.43,INR,Reliance Digital,Shopping,Ahmedabad,netbanking,mobile,success
T00000192,A000138,2026-08-16T18:42:37.367468+00:00,453.21,INR,MedPlus,Healthcare,Kolkata,upi,online,success
T00000193,A000047,2026-06-10T03:25:55.367477+00:00,1526.38,INR,Reliance Digital,Shopping,Delhi,upi,online,success
T00000194,A000844,2026-09-04T03:37:06.367487+00:00,1822.49,INR,Dominos,Food,Delhi,upi,branch,success
T00000195,A000006,2026-07-30T18:17:53.367497+00:00,763.02,INR,Coursera,Education,Pune,card,online,success
T00000196,A000506,2026-07-10T16:40:40.367510+00:00,5545.39,INR,Myntra,Shopping,Ahmedabad,netbanking,mobile,success
T00000197,A000525,2026-06-16T03:11:05.367519+00:00,379.93,INR,Myntra,Shopping,Bangalore,upi,mobile,success
T00000198,A000838,2026-07-07T08:07:31.367530+00:00,13377.49,INR,Uber,Travel,Chennai,netbanking,mobile,success
T00000199,A001155,2026-08-18T17:08:11.367539+00:00,1139.83,INR,Reliance Digital,Electronics,Delhi,card,online,success
T00000200,A000048,2026-07-16T01:36:03.367548+00:00,2809.81,INR,McDonalds,Food,Pune,card,branch,success
T00000201,A000831,2026-06-09T21:57:51.367558+00:00,1774.06,INR,Udemy,Education,Pune,card,mobile,success
T00000202,A000074,2026-08-13T03:44:34.367568+00:00,1136.26,INR,McDonalds,Food,Hyderabad,netbanking,online,success
T00000203,A000956,2026-07-01T21:11:53.367578+00:00,1996.72,INR,Amazon,Shopping,Hyderabad,netbanking,branch,success
T00000204,A000167,2026-07-22T14:41:38.367587+00:00,9042.7,INR,MakeMyTrip,Travel,Delhi,netbanking,online,success
T00000205,A001081,2026-06-14T10:45:50.367599+00:00,362.36,INR,Flipkart,Shopping,Kolkata,card,mobile,success
T00000206,A000444,2026-06-21T15:42:27.367611+00:00,257.92,INR,XYZ Electronics,Electronics,Delhi,upi,online,success
T00000207,A000984,2026-08-20T20:55:35.367620+00:00,1036.12,INR,Uber,Travel,Pune,upi,online,success
T00000208,A000899,2026-06-21T06:29:01.367628+00:00,431.54,INR,MakeMyTrip,Travel,Chennai,card,branch,success
T00000209,A000794,2026-06-09T00:32:24.367637+00:00,366.59,INR,MakeMyTrip,Travel,Hyderabad,card,online,success
T00000210,A000914,2026-08-14T13:01:07.367647+00:00,4809.03,INR,MedPlus,Healthcare,Mumbai,card,online,success
T00000211,A000184,2026-08-05T05:07:16.367658+00:00,190.55,INR,Coursera,Education,Pune,card,branch,success
T00000212,A000649,2026-06-17T14:39:59.367668+00:00,887.91,INR,Electricity Board,Utilities,Kolkata,netbanking,mobile,success
T00000213,A001113,2026-06-13T11:22:00.367677+00:00,3980.04,INR,Udemy,Education,Chennai,card,online,success
T00000214,A001029,2026-06-13T13:36:01.367686+00:00,1334.0,INR,Coursera,Education,Ahmedabad,netbanking,mobile,success
T00000215,A000372,2026-06-12T12:38:38.367696+00:00,549.79,INR,MedPlus,Healthcare,Kolkata,card,branch,success
T00000216,A000069,2026-06-15T04:49:17.367707+00:00,2866.65,INR,MakeMyTrip,Travel,Kolkata,card,branch,success
T00000217,A000582,2026-06-30T15:47:35.367717+00:00,372.63,INR,MedPlus,Healthcare,Pune,card,mobile,success
T00000218,A000296,2026-08-04T03:04:14.367727+00:00,1075.79,INR,BookMyShow,Entertainment,Kolkata,upi,online,success
T00000219,A001147,2026-07-15T22:15:07.367738+00:00,494.04,INR,Uber,Travel,Ahmedabad,upi,online,success
T00000220,A000596,2026-07-05T13:33:43.367747+00:00,254.11,INR,Croma,Electronics,Hyderabad,card,online,success
T00000221,A001102,2026-09-02T09:11:22.367756+00:00,838.58,INR,Coursera,Education,Hyderabad,upi,branch,success
T00000222,A000203,2026-07-24T07:00:58.367767+00:00,100,INR,Spotify,Entertainment,Delhi,upi,mobile,success
T00000223,A000021,2026-09-02T21:48:15.367776+00:00,726.53,INR,Netflix,Entertainment,Kolkata,netbanking,online,success
T00000224,A001175,2026-07-19T15:39:15.367786+00:00,1125.45,INR,Apollo Pharmacy,Healthcare,Mumbai,netbanking,mobile,success
T00000225,A000623,2026-08-14T14:53:11.367796+00:00,1330.01,INR,Coursera,Education,Ahmedabad,netbanking,mobile,success
